entidad_a,enticve1,numeral,nombre1,presue1,presue2
8,08,35,CIENCIA TECNOLOGIA E INNOVACION,35050877.11,33481086
8,08,36,PROGRAMA DE SISTEMAS DE CAPTACION DE AGUA DE LLUVIA Y SISTEMAS COLECTIVOS PARA EL SUMINISTRO DE AGUA CON FINES DE ABASTO DE AGUA POTABLE,78923110.76,69594203.84
8,08,37,PROGRAMA ESTATAL DE INFRAESTRUCTURA HIDRAULICA 2021,103227123.96,74469852.48
8,08,38,RECURSOS PROPIOS 2021,45117797.97,40747550.62
8,08,39,PROGRAMA FORTALECIMIENTO A ORGANIZACIONES DE LA SOCIEDAD CIVIL,5860000,4054300
8,08,40,CONVOCATORIA DE BECAS CONDONACION DE REINSCRIPCION,44713804,58173649.18
8,08,41,PROGRAMA DE ESTIMULOS AL DESEMPEÑO DOCENTE CONVOCATORIA 2020 2021,71784284.52,71529657.02
8,08,42,PROGRAMA DE ESTIMULOS AL DESEMPEÑO DOCENTE CONVOCATORIA 2021 2022,70604530.68,52858762.95
8,08,43,BECAS INTERNAS 2021 UT CAMARGO,618767,648195
8,08,44,ESTIMULOS EDUCATIVOS PARA LA FORMACION UNIVERSITARIA,3360801.6,2739918.59
8,08,45,VINCULACION CON LOS SECTORES PRODUCTIVOS SOCIALES Y EDUCATIVOS,1033973.7,760609.45
8,08,46,PROGRAMA DE INGRESO A LA EDUCACION SUPERIOR,910717.8,1787710.19
8,08,47,FORMACION EN EDUCACION SUPERIOR TECNOLOGICA,4408300.02,7134355.85
8,08,48,APOYO INSTITUCIONAL A LA EDUCACION SUPERIOR TECNOLOGICA,6808382.88,5762891.75
9,09,1,PROGRAMA DE COMEDORES PARA EL BIENESTAR EN LA CIUDAD DE MEXICO 2021,310000000,329500000
9,09,2,PROGRAMA MEJORAMIENTO BARRIAL Y COMUNITARIO TEQUIO BARRIO 2021,100000000,100000000
9,09,3,PROGRAMA SERVIDORES DE LA CIUDAD 2021,140000000,140575719
9,09,4,PROFESIONALIZACION DE LAS PERSONAS OPERADORAS DEL SERVICIO DE TRANSPORTE DE PASAJEROS PUBLICO COLECTIVO CONCESIONADO CLASIFICADO COMO RUTA 2021,44342944,26500000
9,09,5,PROGRAMA DE COINVERSION PARA EL BIENESTAR DE LAS MUJERES 2021,2000000,2000000
9,09,6,APOYO A MUJERES EN SITUACION DE VIOLENCIA DE GENERO,25000000,24999300
9,09,7,RED DE MUJERES EN ALERTA POR TI,5000000,4999981
9,09,8,SEGURO DE DESEMPLEO,150871282.9,150871282.9
9,09,9,FOMENTO CONSTITUCION FORTALECIMIENTO DE EMPRESAS SOCIALES Y SOLIDARIAS,83200936,83200936
9,09,10,FOMENTO AL TRABAJO DIGNO,46533262.79,46533262.79
9,09,11,PROMOTORES PARA EL BIENESTAR CULTURAL DE LA CIUDAD DE MEXICO,162000000,162000000
9,09,12,TALLERES DE ARTES Y OFICIOS PARA EL BIENESTAR CULTURAL DE LA CDMX,161781300,161129900
9,09,13,COLECTIVOS CULTURALES COMUNITARIOS DE LA CDMX,30000000,29450000
9,09,14,PILARES BECA BIENESTAR 2021,106520800,83853127
9,09,15,PILARES CIBERESCUELAS 2021,210383000,207500000
9,09,16,PILARES EDUCACION PARA LA AUTONOMIA ECONOMICA 2021,126107000,122837000
9,09,17,ATENCION PRIORITARIA A PERSONAS EGRESADAS DEL SISTEMA DE JUSTICIA PENAL DE LA CIUDAD DE MEXICO,1000000,939600
9,09,18,IMPULSO LABORAL PARA PERSONAS EGRESADAS DEL SISTEMA DE JUSTICIA PENAL DE LA CIUDAD DE MEXICO,3000000,2915000
9,09,19,COMPONENTE COMUNITARIO DE ALTO AL FUEGO,494000,494000
9,09,20,OJTLI COMUNICACION TERRESTRE PARA EL BIENESTAR,50000000,48234166.94
9,09,21,BIENESTAR PARA PUEBLOS Y COMUNIDADES INDIGENAS,600000,599643.88
9,09,22,COSECHA DE LLUVIA,200000000,199917186.21
9,09,23,ALTEPETL,1000000000,998153528.35
9,09,24,JOVENES UNEN AL BARRIO POR EL BIENESTAR,116908000,78971308.63
9,09,25,MEMORIAL NEWS DIVINE,1500000,1454999.98
9,09,26,NUCLEOS URBANOS DE BIENESTAR,4608000,4430450
9,09,27,OTORGAMIENTO DE AYUDAS DE BENEFICIO SOCIAL A PERSONAS BENEFICIARIAS DEL PROGRAMA MEJORAMIENTO DE VIVIENDA DEL INSTITUTO DE VIVIENDA DE LA CIUDAD DE MEXICO EJERCICIO 2021,50000000,45627052.79
9,09,28,OTORGAMIENTO DE AYUDAS DE BENEFICIO SOCIAL A PERSONAS BENEFICIARIAS DEL PROGRAMA VIVIENDA EN CONJUNTO DEL INSTITUTO DE VIVIENDA DE LA CIUDAD DE MEXICO EJERCICIO 2021,644507158,356649373.71
9,09,29,OTORGAMIENTO DE AYUDAS DE BENEFICIO SOCIAL PARA PAGO DE RENTA Y ATENCION A PERSONAS EN SITUACION DE CALLE EJERCICIO 2021,71760000,56660985.46
9,09,30,ALIMENTOS ESCOLARES,216884054.4,216884054.4
9,09,31,COMEDORES POPULARES PARA EL BIENESTAR,24000000,24000000
9,09,32,DISCAPACIDAD Y BIENESTAR CAPREPOL,5022000,3853420.54
9,09,33,COINVERSION PARA EL BIENESTAR EN LA INFANCIA Y LA ADOLESCENCIA,6500000,6460000
9,09,34,PROGRAMA SALUD Y BIENESTAR COMUNITARIO CULTIVANDO Y COSECHANDO VIDAS DIFERENTES,2200000,2198775.59
9,09,35,BECA LEONA VICARIO DE LA CIUDAD DE MEXICO,250818588,221880868
9,09,36,PROGRAMA ESPECIAL DE APOYO A PERSONAS QUE PERDIERON ALGUN FAMILIAR EN EL SISMO DEL 19 DE SEPTIEMBRE DE 2017,7700000,6891000
9,09,37,BECA DE ASISTENCIA ATENCION E INCLUSION PARA NIÑAS NIÑOS ADOLESCENTES Y JOVENES FAMILIARES DE LAS PERSONAS SENSIBLEMENTE AFECTADAS EN LA LINEA 12 DEL SISTEMA DE TRANSPORTE COLECTIVO STC METRO,6396737.06,6056897.51
9,09,38,BIENESTAR PARA DEPORTISTAS DESTACADOS,3500000,2250000
9,09,39,BIENESTAR PARA ASOCIACIONES DEPORTIVAS,3500000,3500000
9,09,40,PONTE PILA DEPORTE COMUNITARIO PARA EL BIENESTAR 2021,180000000,112564672
9,09,41,PROGRAMA DE BECAS DEL INSTITUTO DE EDUCACION MEDIA SUPERIOR DE LA CIUDAD DE MEXICO,15000000,5968652.4
9,09,42,PROGRAMA PARA EL BIENESTAR EN UNIDADES HABITACIONALES,240000000,238545000
9,09,43,LA ESCUELA ES NUESTRA MEJOR ESCUELA,235000000,235000000
9,09,44,SERVIDORES DE LA CIUDAD EDUCACION,16545456,16545455.91
9,09,45,PROGRAMA SEGURO CONTRA ACCIDENTES PERSONALES DE ESCOLARES VA SEGUR,127574220,74418295
9,09,46,BIENESTAR PARA NIÑAS Y NIÑOS MI BECA PARA EMPEZAR,4641035625,4641035625
9,09,47,UNIFORMES Y UTILES ESCOLARES,1066410000,1066410000
10,10,1,AUTOEMPLEO PARA JEFAS DE FAMILIA,4000000,4000000
10,10,2,TRANSPORTACION TERRESTRE POR RAZONES MEDICAS O HUMANITARIAS,5000000,5000000
10,10,3,MICROCREDITO A LA PALABRA,6000000,6000000
10,10,4,FOMENTO A LAS ACTIVIDADES DE LAS ORGANIZACIONES DE LA SOCIEDAD CIVIL,15245000,15245000
11,11,1,EVENTOS DE PREVENCION SOCIAL DEL DELITO,7000000,11143932.62
11,11,2,SEGURIDAD VECINAL,3676110,4560000
11,11,3,UNIDAD EMPRESARIAL,1012000,988000
11,11,4,APOYOS MAYORES GTO,80000000,130518117.1
11,11,5,TODOS ADELANTE GTO,20000000,21833300
11,11,6,ASISTENCIA ALIMENTARIA GTO,500549683,509824451.47
11,11,7,YO PUEDO GTO PUEDE,2000000,10744381.85
11,11,8,REFUGIO PARA MUJERES SUS HIJAS E HIJOS EN SITUACION DE VIOLENCIA,2500000,2324000
11,11,9,ACCIONES PARA REDUCIR LAS MANIFESTACIONES DE VIOLENCIA EN CONTRA DE NIÑAS ADOLESCENTES Y MUJERES,14000000,12576000
11,11,10,ACCESO DE LAS MUJERES A OPORTUNIDADES DE DESARROLLO EN CONDICIONES DE IGUALDAD,11000000,9100000
11,11,11,MI HOSPITAL CERCANO,8500000,18140680.09
11,11,12,CUIDANDO MI TRASPLANTE,7700000,7700000
11,11,13,CALIDAD DE VIDA PARA NUESTRAS HEROINAS,2500000,2703232
11,11,14,ARTICULACION E INTERVENCION PARA EL FORTALECIMIENTO DE LAS ZONAS IMPULSO SOCIAL,10000000,11252241.5
11,11,15,CENTRO IMPULSO SOCIAL LUGAR DE ENCUENTRO PARA MI BIENESTAR Y DESARROLLO HUMANO,50000000,118031575.53
11,11,16,SUMAMOS AL DESARROLLO DE LA SOCIEDAD,30000000,33225284.45
11,11,17,VIVE MEJOR CON IMPULSO,144300000,104392785.7
11,11,18,MI COLONIA A COLOR,2000000,20745336.32
11,11,19,TRABAJEMOS JUNTOS,35000000,57002060.43
11,11,20,PODEMOS,1200000,19817997.55
11,11,21,MODULOS DE ATENCION MI IMPULSO,2000000,68342500.18
11,11,22,VALE GRANDEZA COMPRA LOCAL,40000000,37161089.17
11,11,23,SERVICIOS BASICOS EN MI COMUNIDAD,65800000,69468674.68
11,11,24,SERVICIOS BASICOS GTO,119888434,150822602.35
11,11,25,SERVICIOS BASICOS ZONAS INDIGENAS,6000000,4538396.75
11,11,26,VIVO LOS ESPACIOS DE MI COLONIA,34000000,35344045
11,11,27,APOYO SIN FRONTERAS,4000000,3758520.82
11,11,28,DXT GTO,2000000,2000000
11,11,29,DEPORTISTAS DE GRANDEZA,1000000,957495.53
11,11,30,GTO ACTIVO,2000000,2000000
11,11,31,VIENTOS MUSICALES,10000000,10001185
11,11,32,PROGRAMA ANUAL DE OBRA DE INFRAESTRUCTURA EDUCATIVA FONDO DE APORTACIONES MULTIPLES,410157076,414158665.27
11,11,33,BECAS Y APOYOS PARA LA POBLACION VULNERABLE,50000000,50000000
11,11,34,SI ME QUEDO,9000000,6800146.05
11,11,35,CAPTEMOS AGUA,15000000,16149678.23
11,11,36,MI CUENCA SUSTENTABLE,10000000,8792394.43
11,11,37,MI GANADO PRODUCTIVO,43000000,41078690.06
11,11,38,PROFESIONALIZACION AGROPECUARIA,5000000,4912688.33
11,11,39,MI PATIO PRODUCTIVO GTO,14000000,14300678.54
11,11,40,MI TIENDA AL 100,10000000,10893104.29
11,11,41,MI CHAMBA,60000000,77805684.52
11,11,42,IMPULSO PRODUCTIVO SOCIAL E INFRAESTRUCTURA,70000000,47169827.78
11,11,43,ABASTECIMIETO DE AGUA A ZONAS RURALES,32369641.2,21719576.37
11,11,44,CON AGUA PARA ZONAS URBANAS,11672011.5,58611097.38
11,11,45,CONDUCCION DE AGUAS RESIDUALES EN ZONAS URBANAS,20088115,33572629.09
11,11,46,CONDUCCION Y SANEAMIENTO DE AGUAS RESIDUALES EN EL MEDIO RURAL,13372623,4575611.5
11,11,47,CONDUCCION Y SANEAMIENTO DE AGUAS RESIDUALES EN LOCALIDADES SUBURBANAS,4219420.8,1719641.6
11,11,48,INFRAESTRUCTURA Y FORTALECIMIENTO DE SISTEMAS DE AGUA EN LOCALIDADES SUBURBANAS,5651223,34835101.48
11,11,49,GTO POR LA DEFENSA AMBIENTAL,1809233.88,1809233.88
11,11,50,CALENTADORES SOLARES,18647369,42055136.51
12,12,1,FONDO DE APOYO A PERIODISTAS,5500000,4488447.31
12,12,2,UN CUARTO MAS,90782385,90782385
12,12,3,DEPOSITOS DE AGUA,6765132.5,6765132.5
12,12,4,ELECTRIFICACION,15000000,15000000
12,12,5,PROGRAMA BECAS,15000000,1287600
12,12,6,GUERRERO NOS NECESITA Y APOYA A DISCAPACITADOS,37000000,20901000
12,12,7,PROGRAMA DE ASISTENCIA SOCIAL ALIMENTARIA EN LOS PRIMEROS 1000 DIAS DE VIDA,69250513.9,69250513.9
12,12,8,PROGRAMA DE ASISTENCIA SOCIAL ALIMENTARIA A PERSONAS DE ATENCION PRIORITARIA,131155331.4,131155331.4
12,12,9,PROGRAMA DE ASISTENCIA SOCIAL ALIMENTARIA A PERSONAS EN SITUACION DE EMERGENCIA O DESASTRE,344891344.7,344891344.7
12,12,10,INSTALACION DE TIENDAS DE ABARROTES PARA LA POBLACION VULNERABLE,2740000,2740000
12,12,11,PAQUETES DE INSUMOS Y ENSERES AGRICOLAS PARA LA PRODUCCION PRIMARIA,2772000,2772000
12,12,12,MEJORAMIENTO DE LA VIVIENDA ADQUISICION DE LAMINA GALVANIZADA,7915920,7915920
12,12,13,ENTREGA DE CEMENTO A LA POBLACION VULNERABLE,2420200,2420200
12,12,14,PROGRAMA DE SALUD Y BIENESTAR COMUNITARIO,2400000,2400000
12,12,15,ADQUISICION Y DONACION DE SILLAS DE RUEDAS,3000000,3000000
12,12,16,ADQUISICION Y DONACION DE APARATOS FUNCIONALES,2500000,2500000
12,12,17,ADQUISICION DE APARATOS AUDITIVOS E INSUMOS PARA MOLDES AUDITIVOS,2500000,2500000
12,12,18,INSTALACION DE TIENDAS DE ABARROTES PARA PERSONAS CON DISCAPACIDAD,2740000,2740000
12,12,19,PROGRAMAS DE APOYOS EN ESPECIE PARA PERSONAS VULNERABLES,1000000,1000000
12,12,20,REGULARIZACION DE LA TENENCIA DE LA TIERRA,31224845,31224845
12,12,21,CAPACITACION PARA Y EN EL TRABAJO,57200132,55583551.44
12,12,22,ATENCION A PACIENTES CON CANCER,93199886.91,93199886.91
12,12,23,DEFENSA Y ASESORIA JURIDICA A PUEBLOS INDIGENAS AFROMEXICANOS,3000000,3000000
12,12,24,SERVICIOS EMERGENTES PARA POBLACION INDIGENA Y AFROMEXICANA,3000000,3000000
12,12,25,FORTALECIMIENTO DE LAS CULTURAS E IDENTIDADES INDIGENAS,4800000,4800000
12,12,26,FORO DE FOMENTO AL EMPLEO Y EMPRENDIMIENTO JUVENIL,1000000,1000000
12,12,27,EQUIPAMIENTO A CASAS DE ESTUDIANTE,1000000,1000000
12,12,28,EDUCACION PARA ADULTOS,149385514.3,149385514.3
12,12,29,PENSION GUERRERO,25000000,15000000
12,12,30,PROGRAMA DE APOYOS PARA LA REACTIVACION ECONOMICA COVID 19,2096847.03,2096847.03
