entidad_a,enticve1,numeral,nombre1,rnspni1,nombre2,elepro1,elepro2,elepro3,elepro4,elepro5,elepro6,elepro7,elepro8,elepro9,elepro10,elepro11,elepro12,elepro13
16,16,50,UNIVERSIDAD POLITECNICA DE LAZARO CARDENAS,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,51,INSTITUTO DE DEFENSORIA PUBLICA DEL ESTADO DE MICHOACAN,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,52,INSTITUTO ESTATAL DE ESTUDIOS SUPERIORES EN SEGURIDAD Y PROFESIONALIZACION POLICIAL DEL ESTADO DE MICHOACAN DE OCAMPO,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,53,COMISION EJECUTIVA ESTATAL DE ATENCION A VICTIMAS,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,54,CENTRO ESTATAL DE FOMENTO GANADERO DEL ESTADO DE MICHOACAN DE OCAMPO,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,55,SISTEMA INTEGRAL DE FINANCIAMIENTO PARA EL DESARROLLO DE MICHOACAN,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,56,INSTITUTO DE LA JUVENTUD MICHOACANA,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,57,INSTITUTO DE CIENCIA TECNOLOGIA E INNOVACION DEL ESTADO DE MICHOACAN DE OCAMPO,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,58,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL DE PROTECCION INTEGRAL DE NIÑAS NIÑOS Y ADOLESCENTES DEL ESTADO DE MICHOACAN,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,59,CONSEJO ESTATAL PARA PREVENIR Y ELIMINAR LA DISCRIMINACION Y LA VIOLENCIA,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,60,UNIVERSIDAD TECNOLOGICA DEL ORIENTE DE MICHOACAN,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
